name,old,new,source
Melvyn Ebonkoli,Missouri State,,
Rip Economou,Seattle,,
Doug Edert,Saint Peter's,Bryant,"Jon Rothstein, CBS"
Malik Edmead,Merrimack,Albany,
Jason Edokpayi,Fairfield,New Haven,
Keon Edwards,Nebraska,Milwaukee,
Maximus Edwards,Kansas State,George Washington,
Nick Edwards,Glenville State,Valparaiso,
Sheldon Edwards,Valparaiso,Loyola Chicago,
Tarig Eisa,Lamar,Florida A&M,
Omar El Sheikh,Assumption,Arkansas State,
Nicolas Elame,UT Arlington,Longwood,Jake Lieberman
Gavyn Elkamil,Tulsa,Southeast Missouri State,Jake Lieberman
Yousef Elkugia,Eastern Washington,,
Luka Eller,Miami (OH),John Carroll University,
Tyler Ellingson,Milwaukee,,
Greg Elliott,Marquette,Pittsburgh,
David Elliott IV,Loyola Marymount,Garden City Community College,
Justice Ellison,Central Connecticut State,,
Emad Elniel,Utah Tech,Concordia St. Paul,
Patrick Emilien,St. Francis Brooklyn,Maryland,Toronto Basketball Academy
Iyen Enaruna,Evansville,Fort Hays State,
Tristan Enaruna,Iowa State,Cleveland State,
Victor Enoh,Marist,,
DeAngelo Epps,Hampton,Catawba,Jake Lieberman
Hunter Erickson,Brigham Young,Salt Lake Community College,
Dane Erikstrup,Cal Poly Pomona,Eastern Washington,
Aria Eskandari,Cleveland State,Southern Wesleyan,
Daniel Esparza,Cal Poly,Biola,
Bryson Etienne,Texas Southern,Southern,Jake Lieberman
Akili Evans,Sacramento State,Georgia Highlands College,
Alsean Evans,Little Rock,,
Ché Evans,UTEP,USC Upstate,
Ché Evans,San Diego State,UTEP,
Devin Evans,Omaha,USC Aiken,
Trace Evans,Kansas City,Seattle Pacific,Jake Lieberman
Yaradyah Evans,St. Francis Brooklyn,,
Nikita Evdokimov,College of Charleston,,
Davion Everett,Western Carolina,,
Arnór Eyþórsson,Toledo,,
Elochukwu Eze,SIUE,,
Kaosi Ezeagu,Kansas State,Sam Houston State,
Onyebuchi Ezeakudo,Pittsburgh,Radford,
Godsgift Ezedinma,Incarnate Word,East Central,
Bradley Ezewiro,LSU,Georgetown,
Kalu Ezikpe,Old Dominion,Cincinnati,
Austin Fadal,Eastern Washington,,
Tra'Von Fagan,Buffalo,UMBC,"Jon Rothstein, CBS Sports"
D.J. Fairley,Alabama A&M,Lawson State Community College,
Amadou Fall,Arkansas–Pine Bluff,,
Mario Fantina,Arkansas State,Arkansas–Monticello,
Francisco Farabello,TCU,Creighton,
Isaac Farah,ETSU,,
Elijah Farr,Murray State,,
Nick Farrar,College of Charleston,UNCW,
Trey Farrer,Utah Valley,Westminster,
Kam Farris,Robert Morris,Marist,
Will Felton,Arizona State,North Carolina A&T,
Quincy Ferebee,Portland,,
"A.J. Ferguson, Jr.",East Central,Southern Illinois,
Borja Fernández,Montana State,Kentucky Wesleyan,
Nick Ferrarini,Omaha,Wayne State (NE),
Caleb Fields,Bowling Green,Fairfield,
Omar Figueroa,North Alabama,Flagler,
Kyler Filewich,Southern Illinois,Wofford,
Jalen Finch,Jacksonville State,Georgia Southern,
Keenan Fitzmorris,Stanford,Stony Brook,
Luke Fizulich,Albany,,
Nick Fleming,Southern Utah,Cal Poly,
"Howard Fleming, Jr.",Illinois State,Winthrop,
Ja'Quavian Florence,Charleston Southern,Tallahassee Community College,
J.J. Flores,Western Illinois,,
Moses Flowers,Hartford,St. Bonaventure,
"Corey Floyd, Jr.",Connecticut,Providence,
Ahamadou Fofana,Canisius,Maryland Eastern Shore,
Michael Folarin,Eastern Washington,Nevada,
Mason Forbes,Harvard,Saint Mary's,
Chris Ford,Davidson,Robert Morris,
Robert Ford III,Idaho State,Montana State,
"Ray Ford, Jr.",Fairleigh Dickinson,Lamar State College–Port Arthur,
Jack Forrest,Saint Joseph's,Bucknell,
Jake Forrester,Temple,Saint Louis,
Armoni Foster,Indiana (PA),Buffalo,
Marco Foster,New Hampshire,Blinn College,
Tyler Foster,Mississippi Valley State,,
Xavier Foster,Iowa State,SMU,
Derek Fountain,Mississippi State,LSU,
Dominik Fragala,Delaware State,,
Tajah Fraley,Alcorn State,Cumberland University,
Jeremiah Francis III,New Mexico,Emmanuel,
Terren Frank,Vanderbilt,Idaho,
Javon Franklin,South Alabama,Georgia Tech,"Joseph Tipton, On3"
Jaden Frazier,Chattanooga,Rollins,
Luke Frazier,Ohio,John Carroll University,
Mikey Frazier,Utah Tech,,
Otis Frazier III,George Mason,UTEP,
Spencer Freedman,Harvard,,
Brayon Freeman,George Washington,Rhode Island,
Chris Freeman,Jackson State,New Mexico Highlands,
Josiah Freeman,Western Michigan,Howard College,
Mark Freeman,Illinois State,Morehead State,"Jeff Goodman, Stadium"
Noah Freidel,South Dakota State,James Madison,
Drew Friberg,Princeton,Belmont,
Alex Fudge,LSU,Florida,
Josiah Fulcher,Bowling Green,Clarendon College,
Caleb Fuller,UC Davis,Montana State,
Xavier Fuller,South Dakota,Northern Arizona,
"Dre Fuller, Jr.",UCF,Florida Atlantic,
Andrew Funk,Bucknell,Penn State,
Taylor Funk,Saint Joseph's,Utah State,
Jake Furgerson,Weber State,,
Jalen Gabbidon,Yale,Colorado,York Ballers
T.J. Gadsden,George Mason,Canisius,
Jalen Gaffney,Connecticut,Florida Atlantic,
Eric Gaines,LSU,UAB,Pro Insight
Jaylan Gainey,Brown,Florida State,"Joseph Tipton, On3"
Brevin Galloway,Boston College,Clemson,
Jackson Gammons,The Citadel,Anderson,
Dawson Garcia,North Carolina,Minnesota,"Travis Branham, 247Sports"
Jared Garcia,Charlotte,Salt Lake Community College,
Javohn Garcia,Massachusetts,College of the Sequoias,
Andersson García,Mississippi State,Texas A&M,FDM Athletics
Tommy Gardler,University of the Sciences,La Salle,
Patrick Gardner,Saint Michael's,Marist,
Matt Garry,Connecticut,,
Jeffrey Gary,Mercer,St. Edward's,
Juwan Gary,Alabama,Nebraska,
Rakeim Gary,South Carolina State,,
Steele Gaston-Chapman,Wichita State,Hutchinson Community College,
Tuon Gatkek,Florida,Texas State,
Mareng Gatkuoth,Montana State,,
Taelyr Gatlin,Denver,Jackson State,
Artemios Gavalas,St. John's,,
Legend Geeter,Providence,Eastern Michigan,
Jaylon Gentry,South Dakota State,Purdue Northwest,
Jonah Geron,Washington,,
C.J. Gettelfinger,Tennessee Tech,,
DeAndre Gholston,Milwaukee,Missouri,
Jaylon Gibson,NC State,Winston-Salem State,
Mason Gibson,Oakland,Midwestern State,
Miles Gibson,Metro State,Binghamton,
Miles Gibson,Saint Peter's,Metro State,
Trenton Gibson,Tusculum,Indiana State,
Umoja Gibson,Oklahoma,DePaul,
Kezza Giffa,UTEP,,
Saba Gigiberia,Georgia Tech,San Francisco,
Brock Gilbert,Utah Tech,,
Tyler Gill,Towson,Fayetteville State,
Montre' Gipson,Tarleton State,Charlotte,
Shamar Givance,Evansville,UTEP,"Nate Ryan, KVIA ABC-7 News"
Sasha Glushkov,Appalachian State,,
Sam Godwin,Wofford,Oklahoma,
Bryce Golden,Butler,Loyola Chicago,
Tre Gomillion,Cleveland State,Missouri,
Brycen Goodine,Providence,Fairfield,
